district_code,state,district_number,total_population,pop_25_34,yp_estimate,yp_density_pct,yp_share_of_cohort_pct,swing_state,pct_bachelors,pct_employed,pct_income_40k_200k,pct_not_enrolled
TX-18,TX,18,768562,136203,18341,2.39,13.47,False,0.33530098455981144,0.7621638289905509,0.5861592992740534,0.898966983106099
CT-2,CT,2,723724,85934,17120,2.37,19.92,False,0.40175018037098237,0.7870342355761398,0.7096855631713813,0.88779761212093
TN-2,TN,2,771752,98985,18311,2.37,18.5,False,0.3626913168661918,0.8010405617012679,0.7086903699562417,0.8984492599888872
IN-4,IN,4,756007,94008,17775,2.35,18.91,False,0.35571440728448644,0.809420474853204,0.7445785695293805,0.8819994043060165
CA-42,CA,42,752589,125527,17573,2.34,14.0,False,0.3052650027484127,0.7738733499565831,0.6808160720620008,0.8704262827917499
NY-16,NY,16,773881,95505,18070,2.33,18.92,False,0.49285377728914714,0.7837495419088006,0.5537371351442552,0.8845610177477619
DE-AL,DE,0,993635,127883,23015,2.32,18.0,False,0.3564351790308329,0.7984720408498394,0.7070393466046906,0.8943643799410399
NY-22,NY,22,772136,97045,17890,2.32,18.43,False,0.3857694883816786,0.7884898758308001,0.6737662450275854,0.8995105363491164
AL-5,AL,5,720871,94837,16660,2.31,17.57,False,0.3654586290161013,0.7784725370899543,0.6937874417572665,0.8899796492929974
IA-2,IA,2,795900,94130,18377,2.31,19.52,False,0.3340380325082333,0.8578242855625199,0.7332187246823562,0.9292361627536386
TX-33,TX,33,776063,129000,17933,2.31,13.9,False,0.2892093023255814,0.768015503875969,0.6774596682572143,0.9238294573643411
TX-22,TX,22,781040,88419,17945,2.3,20.3,False,0.41232088125855304,0.7761227790407039,0.698270030950868,0.9082776326355195
NJ-4,NJ,4,774829,83071,17602,2.27,21.19,False,0.47010388703639056,0.7917444114071096,0.6602149918694508,0.8622864778322158
CA-24,CA,24,760229,96252,17264,2.27,17.94,False,0.37544154926650875,0.7856667913394008,0.7135314468656409,0.8521693055728712
OR-6,OR,6,706640,98611,16049,2.27,16.28,False,0.310786829055582,0.7884414517650161,0.7303983086298319,0.9093711654886372
IN-6,IN,6,752728,99346,16978,2.26,17.09,False,0.31903649870150785,0.7926338252169186,0.7370143441160578,0.9169568981136633
